PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2023-0201,04/17/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Firearm (Exhibited) | CEW Deployment | Takedown (no injury),L1 | L2 | L1,None detected | None detected,Yes | No | Yes,Black | Not Specified | Black,Male | Male | Male,51 | 32 | 27,23 | 5 | 5,0 feet to 1 feet | 0 feet to 1 feet,Male | Female,Black | Black,0 | 18,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,Yes | Yes,Yes | Yes,,Flight from an Officer,No | No | No
FTN2023-0205,04/19/2023,FOB - Field Operations Bureau,3rd District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Not Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury) | Takedown (w/injury) | Hands | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Takedown (no injury) | Takedown (w/injury),L1 | L2 | L1 | L1 | L1 | L1 | L1 | L2,None detected | None detected | None detected,Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes,Black | White | Black | Black | Black | White | White | Black,Male | Male | Male | Male | Female | Male | Female | Male,54 | 54 | 53 | 52 | 36 | 31 | 33 | 29,15 | 15 | 26 | 25 | 9 | 7 | 5 | 4,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | Black | Black,16 | 16 | 16,Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',Yes | Yes | Yes,Yes | Yes | Yes,Yes | Yes | Yes,,Flight from an Officer,No | No | No | No | No | No | No | No
FTN2023-0206,04/20/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Takedown (no injury) | Hands | Takedown (no injury),L1 | L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes | Yes,White | Hispanic | Hispanic | White | White,Male | Male | Male | Male | Male,45 | 38 | 38 | 45 | 45,19 | 7 | 7 | 6 | 6,0 feet to 1 feet,Male,Black,38,Small,5'10'' to 6'0'',No,Yes,No,,Resisting Mental Commitment,No | No | No | No | No
FTN2023-0210,04/23/2023,FOB - Field Operations Bureau,2nd District,DIU Persons,DIU Persons DIU,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Other | Takedown (no injury) | - Hands (with injury),L1 | L1 | L1 | L2,Unknown | Unknown,No | Yes | Yes | Yes,White | White | Black | Black,Female | Male | Male | Male,48 | 38 | 29 | 29,16 | 7 | 4 | 4,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,20 | 18,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',Yes | Yes,Yes | Yes,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2023-0211,04/24/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,33,4,11 feet to 14 feet,Male,Black,34,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2023-0213,04/26/2023,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Asian/Pacific Islander,Male,31,8,1 feet to 3 feet,Male,Black,19,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0212,04/26/2023,PIB - Public Integrity Bureau,Integrity,Integrity,Shooting,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Traffic Stop,Good,Clear Conditions,CEW | NonTrad Impact Weapon | Takedown (no injury),L4 | L4 | L1,None detected,No | No | Yes,White | White | White,Male | Male | Male,30 | 30 | 29,7 | 7 | 3,1 feet to 3 feet,Male,Black,32,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Flight from an Officer,Yes | Yes | No
ftn2023-0214,04/27/2023,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,34,5,11 feet to 14 feet,Male,Black,17,Small,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No
FTN2023-0215,04/28/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown,Yes | Yes,White | Black,Male | Male,35 | 31,14 | 5,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,24 | 33,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,Yes | Yes,Yes | Yes,,Weapon Exhibited,No | No
FTN2023-0222,05/04/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown,Yes | Yes,White | Black,Male | Male,31 | 23,7 | 2,1 feet to 3 feet,Female,Black,29,Small,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No | Yes
FTN2023-0223,05/05/2023,FOB - Field Operations Bureau,1st District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury) | Hands,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,34 | 30,14 | 7,1 feet to 3 feet,Male,Black,30,Large,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No | No
FTN2023-0224,05/06/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,None detected | None detected,Yes | No | Yes | No,Black | Black | Black | Black,Male | Male | Male | Male,34 | 38 | 29 | 47,7 | 7 | 7 | 5,1 feet to 3 feet | 1 feet to 3 feet,Sex-Unk | Male,Race-Unknown | Black, | 23,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2023-0225,05/07/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,None detected | None detected,Yes,White,Male,37,8,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,18 | 21,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,Yes | Yes,Yes | Yes,,Escape,No
FTN2023-0227,05/08/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,White | White | Black,Male | Male | Male,45 | 30 | 29,17 | 7 | 7,19 feet to 21 feet | 19 feet to 21 feet,Male | Male,Black | Black,33 | 19,Medium | Medium,> 6'3'' | > 6'3'',No | No,No | No,Yes | Yes,,Tactical Deployments,No | No | No
FTN2023-0229,05/11/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,35,14,1 feet to 3 feet,Male,Black,20,Small,5'0'' to 5'3'',No,No,No,,Tactical Deployments,No
FTN2023-0231,05/12/2023,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,54,26,1 feet to 3 feet,Male,Black,42,Large,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2023-0234,05/14/2023,FOB - Field Operations Bureau,8th District | 7th District,Gen Assignment | Night Watch,Night Watch | Gen Assignment Other,Unknown Working Status | Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting | Pedestrian Stop,Good,Clear Conditions,Hands | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,White | Black | White,Male | Male | Male,26 | 54 | 57,4 | 16 | 21,1 feet to 3 feet | 0 feet to 1 feet,Male | Male,Black | Black,26 | 36,Medium | Medium,5'7'' to 5'9'' | 6'1'' to 6'3'',No | No,No | No,Yes | Yes,,refuse verbal commands | Escape,No | No | No
FTN2023-0235,05/14/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,24,3,15 feet to 18 feet,Male,Black,26,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0240,05/14/2023,FOB - Field Operations Bureau,Communications,FOB,APR,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Male,51,19,0 feet to 1 feet,Male,White,41,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2023-0236,05/15/2023,FOB - Field Operations Bureau,7th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Asian/Pacific Islander,Male,46,7,4 feet to 6 feet,Sex-Unk,Black,17,Small,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0237,05/15/2023,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,No | Yes,White | Not Specified,Male | Male,43 | 32,17 | 5,4 feet to 6 feet,Male,Black,18,Medium,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0239,05/16/2023,FOB - Field Operations Bureau,6th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Head Strike (No Wep),L3,None detected,Yes,White,Male,40,8,0 feet to 1 feet,Male,Black,53,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2023-0241,05/18/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,Unknown | Unknown,Yes | Yes,White | White,Male | Male,32 | 33,7 | 4,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,21 | 19,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No
FTN2023-0243,05/20/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,Black | White,Male | Male,62 | 61,22 | 26,0 feet to 1 feet,Male,Black,29,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No
FTN2023-0244,05/21/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,Black | White | White,Female | Female | Male,44 | 44 | 43,23 | 9 | 3,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | Black,18 | 14,Medium | Medium,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No
FTN2023-0245,05/21/2023,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,Black | Black,Male | Male,29 | 29,5 | 5,0 feet to 1 feet,Male,Black,33,Small,5'10'' to 6'0'',No,Yes,No,,refuse verbal commands,No | No
FTN2023-0246,05/22/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected | None detected,Yes | Yes | Yes,White | White | White,Female | Male | Male,28 | 46 | 50,4 | 0 | 2,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | White | Black,23 | 26 | 0,Large | Large | Large,> 6'3'' | > 6'3'' | > 6'3'',No | No | No,No | No | No,Yes | Yes | Yes,,Weapon Exhibited,No | No | No
FTN2023-0248,05/22/2023,PIB - Public Integrity Bureau,Force Investigation Team,Investigations,Investigations,,,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury) | Other | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L4 | L1 | L1 | L1,Unknown,No | Yes | Yes | Yes | Yes | Yes,Black | White | Black | Black | Black | Black,Male | Male | Male | Male | Male | Male,34 | 30 | 29 | 31 | 33 | 31,14 | 7 | 7 | 6 | 5 | 5,1 feet to 3 feet,Female,Black,18,Small,5'0'' to 5'3'',Yes,Yes,Yes,,Flight from an Officer,No | No | No | No | No | No
FTN2023-0249,05/22/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | White,Male | Male,26 | 29,4 | 3,22 feet to 25 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0250,05/22/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,25,3,4 feet to 6 feet,Male,Black,19,Large,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2023-0247,05/22/2023,FOB - Field Operations Bureau,1st District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,34 | 34,14 | 14,11 feet to 14 feet,Male,Black,19,Large,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0253,05/23/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,33,5,1 feet to 3 feet,Male,Black,36,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2023-0256,05/24/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Female,44,9,11 feet to 14 feet,Male,Black,17,Small,5'0'' to 5'3'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0254,05/24/2023,FOB - Field Operations Bureau,2nd District,Reassignment/LTD,Reassignment/LTD,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Firearm (Exhibited),L2 | L1,None detected | None detected,Yes | Yes,White | White,Male | Male,40 | 49,16 | 14,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,20 | 19,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,No | No,Yes | Yes,,Resisting Officer w/Weapon,No | No
FTN2023-0257,05/25/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,Black | Black | White,Male | Male | Male,26 | 26 | 29,4 | 4 | 3,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | ,23 | 23,Medium | Medium,> 6'3'' | > 6'3'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No | No
FTN2023-0258,05/26/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury),L2,Alchohol,Yes,White,Male,45,6,0 feet to 1 feet,Male,Black,29,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2023-0259,05/26/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech),L1,Unknown,Yes,Black,Male,31,4,0 feet to 1 feet,Male,Black,33,Small,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0264,05/30/2023,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | White,Male | Male,34 | 34,5 | 5,4 feet to 6 feet,Male,Black,21,Medium,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0269,06/03/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Head Strike (No Wep),L3,Mentally unstable,Yes,Not Specified,Female,41,2,1 feet to 3 feet,Male,Black,16,Large,5'10'' to 6'0'',No,Yes,No,,Battery on Police Officer,No
FTN2023-0270,06/04/2023,MSB - Management Services Bureau,ED & TRN,Education,Laterals-Reinstate,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Clear Conditions,Handcuffed Subject | Hands | Takedown (no injury),L4 | L1 | L1,Alchohol,Yes | Yes | Yes,White | White | White,Male | Male | Male,46 | 50 | 50,0 | 2 | 2,1 feet to 3 feet,Male,White,26,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,Yes | No | No
FTN2023-0275,06/06/2023,FOB - Field Operations Bureau,6th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited),L1,None detected | None detected,Yes,Black,Male,26,4,15 feet to 18 feet | 15 feet to 18 feet,Male | Male,Black | Black,52 | 51,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,refuse verbal commands,No
FTN2023-0274,06/06/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Hands | Takedown (no injury),L1 | L1 | L1,Mentally unstable,Yes | No | Yes,Black | White | White,Male | Male | Male,46 | 49 | 49,26 | 6 | 6,0 feet to 1 feet,Female,Black,41,Small,5'0'' to 5'3'',No,Yes,No,,refuse verbal commands,No | Yes | Yes
FTN2023-0280,06/11/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,None detected,Yes | Yes | Yes,White | White | Black,Male | Male | Male,32 | 33 | 49,7 | 4 | 2,4 feet to 6 feet,Male,Black,20,Small,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No | Yes | No
FTN2023-0282,06/13/2023,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,34 | 34,5 | 5,15 feet to 18 feet,Male,Black,32,Large,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No | No
FTN2023-0283,06/13/2023,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | White,Male | Male,34 | 34,5 | 5,4 feet to 6 feet,Male,Black,35,Large,5'10'' to 6'0'',No,No,No,,Weapon Exhibited,No | No
FTN2023-0284,06/14/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Hands | CEW Deployment,L1 | L1 | L2,None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,32 | 33 | 33,7 | 4 | 4,4 feet to 6 feet,Male,Black,19,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Flight from an Officer,No | No | No
FTN2023-0288,06/17/2023,FOB - Field Operations Bureau,SOD,Admin,Admin,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited) | Takedown (no injury) | CEW Deployment | Firearm (Exhibited),L1 | L2 | L1 | L1 | L2 | L1,Unknown | Unknown,Yes | No | Yes | Yes | No | Yes,Black | White | Black | Black | Black | Hispanic,Male | Male | Male | Male | Male | Male,49 | 30 | 38 | 38 | 31 | 29,25 | 7 | 7 | 7 | 5 | 0,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,23 | 20,Small | Small,5'10'' to 6'0'' | 5'10'' to 6'0'',Yes | Yes,Yes | Yes,Yes | Yes,,Flight from an Officer,No | No | No | No | No | No
FTN2023-0317,06/18/2023,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,31,8,11 feet to 14 feet,Female,Black,53,Medium,5'4'' to 5'6'',Yes,Yes,No,,Resisting Officer w/Weapon,No
FTN2023-0290,06/19/2023,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,White,Male,30,5,1 feet to 3 feet,Male,Black,22,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2023-0291,06/21/2023,FOB - Field Operations Bureau,1st District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,Black | Black | Black,Male | Female | Male,40 | 49 | 44,16 | 22 | 21,0 feet to 1 feet,Male,Black,29,Medium,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No | No | No
FTN2023-0292,06/21/2023,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,32,9,7 feet to 10 feet,Male,Black,36,XLarge,> 6'3'',Yes,Yes,No,,Resisting Mental Commitment,No
FTN2023-0294,06/22/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,CEW Deployment,L2,None detected,Yes,White,Male,46,0,1 feet to 3 feet,,,,Large,6'1'' to 6'3'',No,Yes,Yes,,Flight from an Officer,No
FTN2023-0295,06/22/2023,FOB - Field Operations Bureau,1st District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,45 | 35,14 | 7,1 feet to 3 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0293,06/22/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Rifle (Pointed),L1 | L1,Unknown | Unknown | Unknown,Yes | Yes,Not Specified | Black,Male | Male,32 | 27,5 | 5,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | Black | Black,20 | 0 | 0,Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,No | No | No,Yes | Yes | Yes,,Weapon Exhibited,No | No
FTN2023-0296,06/23/2023,FOB - Field Operations Bureau,8th District,Other Support,FQTF,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,43,20,1 feet to 3 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,Yes
FTN2023-0298,06/24/2023,FOB - Field Operations Bureau,6th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown | Unknown,Yes | Yes,White | White,Male | Male,31 | 31,7 | 6,4 feet to 6 feet | 4 feet to 6 feet | 4 feet to 6 feet,Male | Female | Female,Black | Black | Black,15 | 17 | 18,Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No,No | No | No,Yes | Yes | Yes,,Resisting Lawful Arrest,No | No
